states,scores
101000020000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
101010020000002000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
101011020000002000000200000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
201001100200000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
211001100200020000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
211101120200020000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
211101120200122000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
210100000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
211100020000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
201100000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
201100120000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
201100120000012000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
221110120000012000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
201011020100002000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
200011020000100000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
201011020000102000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
201011120002102000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
210000001000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
210000121000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
210010121000002000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
210011121002002000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
001020000100000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
001120200100000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
201120200110000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
201120200110020001000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
201120220110020011000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
201120220111022011000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
200110000000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
200111020000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
210111020000002000000000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
211100220010000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
211100222010010000000000000000000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
000210000001000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
200210000011000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
200210200011000000100000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
201210220011000000100000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
201210220011002001100000000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
010100200000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
210110200000000000000000000000000000000000,"[0.011905, 0, 0, 0, 0, 0, 0]"
210110221000000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
210111221002000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
210111221002020000100000000000000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
